,id,redshift,tu,tg,tr,ti,tz,ty,u10,uerr10,g10,gerr10,r10,rerr10,i10,ierr10,z10,zerr10,y10,yerr10
id,1.0,0.008527651544078684,-0.002950236421275617,-0.004141698718112185,0.0009964629122341767,0.004296889183444893,0.004551347996717397,0.004086964867308876,-0.002779935732085717,-0.0014705761681590547,-0.004160933912692157,-0.004785588088176493,0.0010093614094045028,0.000639862587020072,0.004289038195097128,0.00545700856102024,0.004546320078050428,0.0052455558489815255,0.004059433377193366,0.00440468465694574
redshift,0.008527651544078684,1.0,0.45507321538736994,0.1437883203567711,0.27168060690280776,0.39327950145766943,0.4234259365067928,0.4135611504369069,0.39319306596415105,0.5180181837511114,0.14348819095685855,0.06650994422416291,0.2715941307126903,0.12224054428827617,0.3931002092117397,0.382189861334222,0.4230202681415769,0.4604655951006958,0.4109277325557766,0.4499962985296431
tu,-0.002950236421275617,0.45507321538736994,1.0,0.7459516812222703,0.5251171363480466,0.47049960699297577,0.459697153890641,0.45828004879199663,0.8645105645176578,0.8549850216077979,0.7445520348643031,0.6893957937799446,0.5249562838753503,0.47691003973677887,0.4702902107299837,0.4186002056721664,0.4592351172620906,0.42638197868686584,0.455276757706156,0.4460148739310324
tg,-0.004141698718112185,0.1437883203567711,0.7459516812222703,1.0,0.8952886695860265,0.7860425952154892,0.706856528695854,0.6816472771304964,0.6452232086901325,0.38481122769202014,0.998235370756875,0.7644774743109871,0.8950185082267009,0.785301044535861,0.7856968259721931,0.6495431146694313,0.7061418777197553,0.5150581926757504,0.6771392989618399,0.5023045988531706
tr,0.0009964629122341767,0.27168060690280776,0.5251171363480466,0.8952886695860265,1.0,0.9565857449680057,0.8880825447159744,0.8573354690463653,0.4542939492973855,0.1934898879774383,0.8937680138117411,0.5572083385280165,0.9997016307013412,0.8164459960619249,0.9561694265949728,0.8029482596400558,0.8871902281837603,0.6559864838989018,0.8516839210075713,0.6270158986182629
ti,0.004296889183444893,0.39327950145766943,0.47049960699297577,0.7860425952154892,0.9565857449680057,1.0,0.9713674605141828,0.9488574250136503,0.407007859241795,0.18482689281782563,0.7847194176011361,0.4259074144752572,0.9563022508528615,0.7264676841016664,0.9995647726370646,0.861444892165566,0.9704070914427328,0.768286545980917,0.942614291088115,0.7417706021629108
tz,0.004551347996717397,0.4234259365067928,0.459697153890641,0.706856528695854,0.8880825447159744,0.9713674605141828,1.0,0.9946231272691946,0.39763631135809435,0.21008346641049924,0.7056724710380803,0.348670024403966,0.8878223749844087,0.6484401401385926,0.9709431331691505,0.8507140024652499,0.99901674878869,0.8436873906434005,0.9880720864047066,0.832377266076886
ty,0.004086964867308876,0.4135611504369069,0.45828004879199663,0.6816472771304964,0.8573354690463653,0.9488574250136503,0.9946231272691946,1.0,0.39638045434460395,0.22321327561226734,0.680508994115355,0.3276677033706703,0.8570859221109878,0.6168108260216272,0.9484423788427905,0.8329472576628227,0.9936451748043504,0.8536345696051906,0.9934099956221493,0.8551363760639819
u10,-0.002779935732085717,0.39319306596415105,0.8645105645176578,0.6452232086901325,0.4542939492973855,0.407007859241795,0.39763631135809435,0.39638045434460395,1.0,0.7389760007844876,0.6440671601336441,0.5966102173626506,0.45414883250079385,0.41269169780149845,0.4068389090536323,0.362222673055566,0.3972460575518062,0.3688969463766092,0.3937531952594454,0.38581594327443597
uerr10,-0.0014705761681590547,0.5180181837511114,0.8549850216077979,0.38481122769202014,0.1934898879774383,0.18482689281782563,0.21008346641049924,0.22321327561226734,0.7389760007844876,1.0,0.3839884017167258,0.5170102692328697,0.19342835760176585,0.21059217299920766,0.18475115012510374,0.19673280901457596,0.20986685060908009,0.2626088265773265,0.221769464401436,0.2979433337892778
